samp_target,disk_radius,tot_radius,fr_length,fr_width,fr_pos,styles,ploidy
3,1.51,4.49,8.49,8.5,5.43,2.0,2.0
3,1.5,4.81,9.27,9.23,5.05,3.0,2.0
3,1.59,4.37,8.84,8.82,4.55,3.0,2.0
3,1.28,3.81,7.69,7.76,3.41,2.0,2.0
3,1.45,4.0,8.94,7.86,5.84,2.0,2.0
3,1.55,4.07,8.38,8.28,4.72,2.0,2.0
3,1.42,4.54,8.58,9.61,4.48,2.0,2.0
3,1.47,4.14,9.22,8.06,4.15,2.0,2.0
3,1.42,3.89,7.18,7.98,3.41,3.0,2.0
3,1.18,4.06,9.89,8.25,5.07,2.0,2.0
3,1.56,4.57,9.93,9.49,4.78,3.0,2.0
3,1.36,4.02,8.99,7.97,4.58,3.0,2.0
3,1.27,4.23,9.71,8.64,4.51,2.0,2.0
3,1.14,3.24,7.89,6.51,4.73,2.0,2.0
3,1.13,3.55,8.2,7.05,4.07,2.0,2.0
3,1.09,3.49,8.58,7.27,4.34,2.0,2.0
3,1.11,3.59,7.71,6.12,3.12,2.0,2.0
3,1.39,3.64,7.84,6.85,4.43,2.0,2.0
3,1.11,3.78,7.95,6.56,4.78,2.0,2.0
3,1.07,3.87,9.41,7.71,5.28,2.0,2.0
3,1.38,3.51,7.07,7.04,4.53,2.0,2.0
3,1.2,3.95,8.66,7.39,4.58,2.0,2.0
3,1.22,3.78,8.46,7.69,4.59,2.0,2.0
3,1.49,3.88,8.94,7.51,4.56,2.0,2.0
3,1.62,4.54,9.09,8.57,4.53,2.0,2.0
3,1.59,4.21,9.55,8.08,4.76,2.0,2.0
3,1.56,3.99,9.66,8.18,4.25,2.0,2.0
3,1.38,3.58,9.66,8.18,4.25,2.0,2.0
3,1.47,3.94,9.29,7.58,4.71,2.0,2.0
3,1.17,4.08,9.21,8.17,3.87,2.0,2.0
3,1.17,3.96,8.54,8.07,4.35,2.0,2.0
3,1.18,3.58,7.74,7.4,3.78,1.0,2.0
3,1.36,4.24,7.74,7.4,3.78,2.0,2.0
3,1.34,3.79,8.31,7.97,4.55,2.0,2.0
3,1.24,3.89,8.07,7.64,5.26,2.0,2.0
3,1.37,3.8,10.0,7.76,5.22,1.0,2.0
3,1.5,4.06,9.26,8.01,4.95,2.0,2.0
3,1.48,3.92,9.33,7.1,6.27,2.0,2.0
3,1.43,4.07,9.53,8.59,5.32,2.0,2.0
3,1.6,4.55,10.2,8.73,5.4,2.0,2.0
3,1.52,4.17,9.74,8.08,4.68,2.0,2.0
3,1.34,4.16,9.53,7.93,5.34,1.0,2.0
3,1.56,4.76,9.92,9.48,4.8,2.0,2.0
3,1.32,3.88,8.53,7.75,4.72,2.0,2.0
4,1.65,3.35,8.43,6.76,3.73,1.0,3.0
4,1.31,4.37,10.04,8.44,4.39,1.0,3.0
4,1.54,4.3,11.34,8.43,5.67,1.0,3.0
4,1.18,3.17,8.73,6.16,5.57,1.0,3.0
4,1.49,3.18,8.98,6.15,5.74,1.0,3.0
4,1.43,3.18,9.16,6.43,4.78,1.0,3.0
4,1.48,3.86,9.49,7.37,5.24,1.0,3.0
4,1.55,3.64,8.75,7.23,5.25,1.0,3.0
4,1.45,3.83,9.9,7.73,4.05,1.0,3.0
4,1.56,3.97,9.08,7.83,4.77,1.0,3.0
4,1.06,3.39,9.16,7.42,5.54,1.0,3.0
4,1.48,3.11,8.81,6.02,4.74,1.0,3.0
4,1.12,3.76,9.28,7.32,3.75,1.0,3.0
4,1.4,3.88,8.85,7.44,5.52,1.0,3.0
4,1.39,2.97,8.2,6.43,4.59,1.0,3.0
4,1.35,3.16,9.38,6.39,5.45,1.0,3.0
4,1.47,3.3,9.04,6.53,5.04,1.0,3.0
4,1.57,4.37,10.78,8.82,4.41,1.0,3.0
3,1.4,4.65,10.56,9.74,5.76,2.0,2.0
3,1.44,4.49,11.3,9.23,5.47,2.0,2.0
3,1.46,4.18,9.73,8.67,5.07,2.0,2.0
3,1.66,4.61,11.26,10.07,5.49,2.0,2.0
3,1.42,4.15,10.52,8.08,7.18,1.0,2.0
3,1.39,4.08,9.53,8.62,6.62,1.0,2.0
3,1.52,4.77,10.38,9.51,5.72,2.0,2.0
3,1.34,4.83,9.2,9.91,4.3,2.0,2.0
3,1.84,4.71,9.58,9.45,4.88,2.0,2.0
3,1.52,4.2,8.86,8.82,3.71,2.0,2.0
3,1.57,4.98,10.84,10.03,5.01,2.0,2.0
3,1.54,5.24,11.38,10.4,5.71,2.0,2.0
3,1.52,5.12,10.34,11.12,5.31,2.0,2.0
3,1.71,4.4,9.62,8.85,3.62,3.0,2.0
3,1.5,4.63,10.53,9.35,5.72,2.0,2.0
3,1.47,4.84,10.63,9.86,3.82,2.0,2.0
3,1.69,4.75,10.15,9.82,4.14,2.0,2.0
3,1.66,4.43,10.13,9.2,4.99,3.0,2.0
3,1.51,4.87,11.19,9.75,5.1,2.0,2.0
3,1.59,4.82,11.1,10.08,6.53,3.0,2.0
3,1.59,4.86,10.1,9.65,5.13,1.0,2.0
3,1.45,5.1,10.26,9.03,6.96,2.0,2.0
3,1.59,4.83,10.39,10.02,5.5,2.0,2.0
3,1.47,4.47,9.67,8.58,5.2,2.0,2.0
3,1.65,4.66,8.93,9.19,3.5,2.0,2.0
3,1.63,4.54,9.02,8.99,3.29,1.0,2.0
3,1.39,4.44,10.29,9.02,5.91,2.0,2.0
3,1.52,4.41,10.3,8.56,5.98,1.0,2.0
3,1.54,3.93,8.97,7.83,4.25,1.0,2.0
3,1.56,4.6,11.05,8.57,4.57,2.0,2.0
3,1.54,5.15,11.6,10.89,7.44,3.0,2.0
3,1.58,4.94,10.34,10.22,5.08,2.0,2.0
3,1.75,4.85,10.93,9.43,5.86,3.0,2.0
